,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
MYDGF,-0.04,0.36,-0.20,1.64,-0.10,0.66,-0.10,1.31,-0.17,1.23,-0.18,1.36
ATG7,0.02,0.04,0.23,1.17,-0.14,0.53,0.26,1.16,0.38,1.68,-0.13,0.51
PPP4R3B,0.01,0.01,-0.91,0.61,0.44,0.28,0.08,0.05,-0.84,0.47,0.33,0.19
PRKCA,0.17,1.21,-0.18,1.94,-0.41,2.40,0.00,0.01,0.21,3.19,-0.09,0.71
RAP2C,-0.22,0.23,-0.03,0.04,0.16,0.19,0.17,0.26,-0.31,0.50,0.43,0.59
ANO6,0.31,1.75,0.25,1.37,-0.08,0.34,0.12,0.53,-0.13,0.63,-0.11,0.54
CXorf56,0.45,1.84,0.47,2.12,0.34,1.46,0.28,2.06,0.13,0.45,0.35,2.51
CFAP298,0.03,0.14,0.07,0.35,0.27,1.53,0.03,0.18,0.03,0.15,-0.05,0.35
TUBGCP2,-0.62,3.30,-0.41,2.59,-0.34,2.60,-0.35,2.07,-0.21,1.18,0.04,0.13
UQCRB,-0.50,2.73,-0.35,2.54,-0.17,0.99,-0.27,2.03,-0.32,1.99,-0.69,2.81
COPS6,-0.09,0.12,-0.09,0.12,-0.16,0.21,-0.17,0.23,-0.22,0.30,-0.19,0.26
CBFB,0.64,4.00,0.74,3.64,0.28,2.53,0.56,2.30,-0.03,0.12,0.70,4.34
TSEN34,-0.08,0.14,-0.01,0.01,0.32,0.59,0.13,0.23,0.26,0.49,0.35,0.80
STOM,-0.09,0.12,-0.27,1.01,0.20,0.35,0.03,0.05,-0.06,0.11,-0.34,1.23
ADAM15,-0.27,0.89,-0.14,0.87,-0.58,2.53,-0.02,0.07,-0.10,0.55,-0.41,1.67
AVEN,-0.27,1.05,-0.21,1.14,0.14,1.57,0.03,0.09,-0.19,0.76,-0.46,2.80
NUP58,0.06,0.14,0.16,0.36,0.27,0.78,0.26,0.68,0.19,0.51,0.10,0.21
AIMP2,-0.08,0.45,-0.30,1.74,0.03,0.17,-0.15,1.01,-0.15,0.91,-0.18,1.08
PEX14,-0.29,0.43,-0.18,0.30,-0.29,0.47,-0.17,0.23,-0.37,0.63,-0.24,0.37
REXO4,0.10,1.00,-0.28,1.97,0.25,1.12,-0.07,0.54,0.08,0.56,-0.11,1.46
ARF6,-0.56,0.98,-0.40,0.72,-0.30,0.52,-0.25,0.44,0.07,0.09,-0.30,0.48
TLK1,-0.47,1.20,0.02,0.05,-0.26,0.56,-0.36,0.82,-0.61,1.27,-0.26,0.55
NOP9,-0.61,1.06,-0.86,1.41,-0.13,0.22,-0.11,0.18,-0.11,0.20,-0.40,0.74
SLMAP,0.34,0.17,0.65,0.32,0.67,0.72,-0.02,0.01,0.00,0.00,0.15,0.09
DDAH2,0.24,0.64,0.31,1.11,-0.23,1.10,-0.04,0.12,-0.42,1.92,-0.13,1.21
MYO19,-0.36,1.92,-0.38,1.63,0.02,0.08,-0.10,0.51,-0.13,0.66,-0.15,0.57
RAD54B,0.04,0.05,0.14,0.16,0.41,0.62,-0.36,0.50,-0.25,0.21,0.53,0.99
ATP5MD,-0.19,0.37,0.09,0.14,0.00,0.00,-0.01,0.01,0.27,0.69,0.25,0.53
UPF3B,-0.26,1.23,-0.07,0.31,0.01,0.05,0.10,0.42,0.01,0.03,-0.11,0.43
MRPL4,-0.64,1.18,-0.60,1.09,-0.25,0.46,-0.37,0.73,-0.50,0.96,-0.53,1.03
ATP5PB,-0.71,1.59,-0.47,1.30,-0.65,1.70,-0.45,1.20,-0.33,0.98,-0.43,1.11
PIGT,-0.04,0.22,-0.10,0.63,-0.03,0.18,-0.05,0.19,-0.30,1.63,-0.15,0.89
PQBP1,0.28,0.91,0.21,0.68,0.26,0.92,0.10,0.33,0.16,0.41,-2.16,3.50
COX5A,-0.15,1.30,-0.27,1.82,-0.15,1.38,-0.05,0.49,-0.06,0.49,-0.13,1.23
OSBPL9,-0.08,0.68,0.12,0.93,0.29,1.75,0.08,0.55,0.01,0.05,0.09,1.02
PAXBP1,0.10,0.34,-0.01,0.02,-0.09,0.61,0.05,0.25,-0.16,0.65,-0.27,1.85
HAUS7,0.04,0.09,0.15,0.81,0.32,1.21,0.10,0.35,0.13,0.31,0.12,0.59
WBP2,0.34,1.43,0.63,2.62,-0.15,0.56,-0.07,0.13,-0.27,0.65,0.29,1.12
VAMP3,0.18,1.50,0.12,0.99,-0.07,0.47,0.12,0.90,-0.01,0.03,-0.06,0.44
TRMT1L,-0.23,0.24,0.08,0.10,0.04,0.05,0.01,0.01,-0.50,0.64,0.07,0.06
ANKZF1,-0.23,0.70,-0.16,0.57,0.26,0.84,-0.33,1.24,-0.30,0.94,-0.13,0.38
LACTB2,-0.29,1.26,-0.09,0.40,-0.20,0.90,-0.08,0.35,-0.61,2.18,-0.24,1.06
LANCL2,0.41,1.26,0.57,1.34,0.54,1.71,0.39,1.08,0.30,0.68,0.31,0.80
THG1L,-0.23,1.06,0.08,0.31,0.15,0.85,0.03,0.15,-0.25,1.40,-0.27,1.46
LLPH,-0.26,0.69,-0.52,1.44,-0.12,0.30,-0.35,0.97,-0.08,0.18,-0.22,0.60
GNG12,-0.03,0.24,0.14,0.73,0.16,1.47,0.05,0.24,-0.57,2.66,-0.24,1.18
MT-CO2,-0.52,1.85,-0.41,1.43,-0.14,0.51,-0.02,0.06,-0.05,0.16,-0.26,0.94
CDK9,0.14,0.56,0.04,0.13,0.21,0.66,0.15,0.62,0.21,0.45,0.15,0.53
RRAGC,-0.17,0.53,-0.07,0.16,-0.19,0.49,-0.10,0.38,-0.43,0.99,-0.33,1.77
REEP5,-0.19,0.87,-0.36,1.71,0.20,0.88,-0.12,0.58,-0.08,0.33,0.05,0.25
OS9,0.20,0.26,-0.36,0.65,0.01,0.01,0.13,0.23,-0.35,0.66,0.16,0.19
ZMYND8,0.48,1.41,0.67,1.79,0.50,1.33,0.69,1.87,0.40,0.79,0.43,1.02
INPP5F,-0.28,0.94,-0.05,0.12,0.11,0.47,0.17,0.64,-0.02,0.08,-0.08,0.26
SMARCD1,0.53,0.79,0.92,1.19,0.41,0.54,0.50,0.85,0.23,0.31,-0.41,0.47
HINT1,-0.41,1.47,-0.05,0.28,-0.17,1.03,-0.20,0.77,-0.23,1.03,-0.19,0.94
KPNA1,0.16,0.43,0.35,1.05,0.23,0.64,0.26,0.76,0.16,0.32,0.25,0.62
ITPA,-0.48,1.74,-0.50,1.93,-0.16,0.77,-0.06,0.25,-0.43,1.92,-0.22,0.87
BNIP1,0.29,1.29,0.18,1.30,0.25,1.41,-0.05,0.66,0.03,0.16,0.26,2.12
DMAP1,0.34,0.89,0.32,0.92,0.16,0.41,0.22,0.64,-0.06,0.12,0.16,0.39
CLPTM1L,0.29,1.14,0.04,0.09,0.18,0.53,0.16,0.73,0.14,0.27,0.06,0.25
MEMO1,0.01,0.02,-0.22,1.17,0.04,0.16,0.20,1.17,0.10,0.40,-0.04,0.13
DYNLL1,-0.27,0.36,-0.17,0.24,-0.47,0.71,-0.50,0.72,-0.24,0.35,-0.42,0.64
BRF1,0.27,0.85,0.01,0.03,-0.63,2.13,0.02,0.16,0.00,0.02,-0.02,0.10
RPP38,0.07,0.13,0.17,0.34,0.34,0.70,0.07,0.14,0.03,0.05,0.11,0.19
MKRN2,0.49,1.58,0.63,1.82,0.46,1.09,0.49,1.29,-0.02,0.04,0.29,0.76
NECAP1,0.40,2.39,0.31,2.76,0.30,2.17,0.21,1.76,-0.30,2.08,-0.45,2.48
EMC2,-0.13,0.54,-0.06,0.16,0.37,1.46,0.08,0.31,-0.16,0.47,0.18,0.57
PFDN1,0.09,0.38,0.08,0.31,-0.05,0.17,-0.12,0.41,-0.08,0.33,0.14,0.57
DNAJC21,-0.05,0.14,0.02,0.10,0.02,0.07,0.08,0.38,0.17,0.83,0.08,0.35
CLTA,0.20,1.12,0.13,0.63,0.29,1.33,-0.04,0.13,0.17,0.70,0.25,1.04
GTF2E1,0.18,0.64,0.22,0.85,0.16,0.62,0.12,0.49,-0.02,0.04,0.01,0.03
SYT1,-1.29,3.39,0.03,0.12,-0.49,2.09,0.04,0.18,0.08,0.39,0.19,0.90
WASF2,0.07,0.19,0.22,1.07,0.16,0.91,0.04,0.19,-0.05,0.18,0.15,0.62
KATNA1,-1.25,2.01,-0.85,1.77,-0.27,0.50,-0.50,1.01,-0.22,0.43,-0.55,1.19
ISCA2,0.20,1.26,0.44,2.64,0.47,1.74,0.32,1.94,-0.34,2.00,0.06,0.31
BRCC3,-0.10,0.57,-0.03,0.17,0.11,0.61,0.22,0.97,0.28,1.56,0.09,0.75
MTX1,0.41,2.17,0.16,0.55,0.39,2.47,0.16,1.03,0.41,1.75,-0.28,1.23
NDUFB8,-0.11,0.40,-0.20,0.62,-0.17,1.18,0.23,1.19,-0.29,1.15,-0.12,0.40
POLR3B,-0.29,0.44,-0.27,0.62,0.16,0.25,0.18,0.44,-0.23,0.47,0.05,0.09
KAT8,-0.08,0.29,-0.06,0.53,0.08,0.56,-0.02,0.12,-0.24,1.13,0.17,1.65
MRPS15,-0.43,2.08,-0.40,2.18,0.01,0.02,-0.18,1.69,-0.16,1.35,-0.41,2.62
RAB3A,-0.01,0.01,-0.39,1.04,-0.11,0.25,0.19,0.29,-0.03,0.05,-0.16,0.30
CYB5B,-0.83,2.18,-0.16,0.42,-0.55,1.62,-0.38,1.36,-0.11,0.39,-0.30,1.12
UBXN6,0.07,0.12,0.26,0.46,0.08,0.11,0.01,0.02,-0.03,0.04,-0.06,0.10
RNF2,0.14,0.26,0.25,0.65,0.41,0.99,-0.02,0.04,0.02,0.03,0.36,0.72
NFAT5,0.89,1.94,0.56,2.06,-0.13,0.28,0.28,0.46,-0.18,0.41,0.26,0.55
MAOA,0.61,1.43,1.69,4.84,0.53,1.99,0.77,2.89,0.66,2.30,0.33,0.56
GNB1L,-0.28,0.95,-0.25,0.86,-0.10,0.33,0.22,0.64,0.51,1.31,-0.18,0.42
TENT4B,0.23,1.04,0.18,0.90,0.41,1.81,0.34,1.77,0.39,1.47,0.38,2.04
DPP7,-0.17,0.30,-0.90,1.83,-0.31,0.73,-0.40,1.13,-1.51,2.22,-0.81,1.82
RAF1,-0.29,1.31,-0.27,1.91,-0.08,0.57,-0.07,0.37,-0.46,1.96,-0.03,0.06
ANO1,0.50,1.51,0.90,1.90,0.21,0.50,0.47,1.12,0.16,0.41,0.24,0.69
TMEM209,0.08,0.10,0.12,0.17,-0.08,0.09,0.11,0.13,-0.10,0.11,0.16,0.20
LSM14A,-0.06,0.15,0.05,0.17,0.26,1.05,0.15,0.48,0.15,0.58,0.36,1.28
SLC29A1,-0.15,0.40,-0.69,1.81,-0.09,0.21,-0.20,0.54,-0.25,0.68,-0.21,0.77
UTP3,0.02,0.09,-0.04,0.15,0.23,1.19,0.22,1.54,0.06,0.36,0.10,0.55
NUMBL,1.33,2.70,1.26,2.93,0.80,1.78,0.80,1.45,0.62,1.70,0.54,0.98
GAMT,-0.45,1.22,-0.29,0.97,-0.65,1.83,-0.21,0.66,0.11,0.30,-0.22,0.66
ATP6V1H,0.09,0.28,0.31,1.07,0.03,0.09,0.14,0.48,-0.34,1.23,0.07,0.22
DBI,-0.10,0.44,-0.23,0.95,0.04,0.13,-0.21,0.92,0.10,0.35,-0.13,0.45
AAR2,0.46,2.25,0.37,1.49,0.22,1.22,0.37,1.36,0.15,0.70,0.26,1.17
FAM162A,-1.67,1.99,-1.42,1.87,-0.76,1.28,-0.54,0.96,-0.78,1.25,-0.78,1.28
RECQL4,0.15,0.21,-0.53,1.24,0.40,0.48,-0.22,0.50,0.37,0.40,0.19,0.44
FAM114A1,0.34,0.44,0.89,1.60,0.26,0.51,0.07,0.08,0.45,0.99,0.23,0.41
ARMC10,-0.19,0.53,-0.19,0.84,-0.10,0.45,0.13,0.45,-0.11,0.45,-0.17,0.76
DEF6,-0.11,0.38,-0.26,1.22,0.53,1.67,0.14,0.55,-0.09,0.21,0.16,0.57
FAM169A,-0.55,2.42,-0.24,0.74,-0.06,0.13,0.03,0.05,-0.44,2.38,-0.25,1.11
ZNF148,0.10,0.27,0.25,0.84,0.14,0.36,0.17,0.53,-0.05,0.11,0.15,0.32
TCAF1,0.04,0.31,0.34,2.03,0.17,1.02,0.03,0.07,-0.13,0.31,0.34,2.16
CREBBP,0.96,1.51,0.90,1.41,0.82,1.14,0.46,0.58,0.74,0.95,0.50,0.66
RPL37A,-0.26,1.69,-0.29,1.75,0.10,0.50,0.03,0.14,0.00,0.00,-0.07,0.49
SPATS2,0.07,0.25,0.21,1.41,0.35,1.75,-0.10,1.05,0.12,0.43,0.34,2.20
SPIN1,-0.37,1.12,-0.14,0.46,-0.12,0.34,0.01,0.03,-0.55,1.69,-0.16,0.51
PPP4R2,-0.09,0.46,0.01,0.02,0.03,0.07,0.02,0.05,-0.20,0.88,0.08,0.41
NUCKS1,-0.43,1.23,-0.17,0.72,-0.15,0.61,0.18,0.69,0.04,0.17,-0.07,0.18
LRCH3,0.09,0.83,-0.11,0.24,-0.06,0.22,-0.12,0.47,-0.14,0.31,0.02,0.04
TIMM50,-0.10,0.49,0.03,0.14,0.13,0.69,0.21,1.03,0.03,0.10,-0.01,0.05
SORL1,-0.38,1.75,-0.36,1.85,-0.30,1.78,-0.06,0.21,0.10,0.37,0.30,1.37
SRSF5,-0.33,0.57,-0.36,0.64,-0.47,0.82,-0.29,0.51,-0.35,0.60,-0.06,0.09
DIMT1,-0.52,0.98,-0.87,1.45,-0.20,0.39,-0.29,0.51,0.07,0.10,-0.42,0.84
PEX19,0.23,1.56,0.32,2.10,0.31,2.00,0.15,0.96,-0.29,1.57,-0.10,0.48
SMAD4,-0.07,0.20,0.00,0.00,0.04,0.12,0.04,0.14,0.08,0.23,0.05,0.17
ACAA2,0.27,0.90,0.18,0.85,0.11,0.35,0.14,0.93,-0.10,0.58,0.22,1.15
FRMD8,-0.22,1.74,-0.07,0.41,0.14,0.83,-0.05,0.17,0.20,1.01,-0.05,0.19
CDK5RAP2,0.63,2.98,0.62,2.61,0.74,3.11,0.27,1.14,-0.10,0.37,0.33,1.47
FBXL12,0.30,1.34,0.05,0.42,0.23,0.55,-0.13,1.13,0.02,0.05,0.26,1.65
NPTN,-0.29,1.19,-0.21,1.40,-0.36,2.00,-0.33,1.33,-0.78,2.53,-0.24,0.92
MAGOH,0.22,1.21,0.19,0.94,0.15,0.83,0.12,0.46,0.31,1.73,0.34,1.45
DENND4C,0.58,0.82,0.69,0.88,0.60,0.97,0.35,1.11,0.19,0.87,-0.39,1.22
NOTCH2,-0.21,2.51,-0.44,3.68,-0.02,0.23,-0.14,0.88,-0.10,0.85,-0.09,0.79
MAD2L1,-0.29,0.63,-0.03,0.05,0.14,0.42,0.11,0.24,0.00,0.00,0.17,0.57
WDCP,0.02,0.05,0.20,0.82,0.27,0.98,0.19,0.92,0.04,0.13,0.26,0.94
SLC25A11,-1.14,1.48,-0.79,1.17,-0.89,1.27,-0.70,1.06,-0.84,1.19,-1.19,1.51
SCD,-1.54,2.77,-0.99,2.31,0.16,0.63,-0.50,1.53,-0.33,1.22,-0.21,0.77
SLC27A2,-0.43,2.14,-1.13,3.36,0.16,0.95,-0.21,0.61,-0.73,2.58,-0.50,2.12
MRPS34,-0.12,0.63,-0.10,0.43,0.11,0.78,0.19,0.90,0.23,1.40,-0.17,0.78
CHMP4A,-0.24,0.89,-0.07,0.18,-0.21,0.78,0.17,0.53,-0.11,0.31,-0.69,1.95
CHCHD6,-0.34,1.11,-0.30,1.09,-0.05,0.13,0.04,0.13,-0.01,0.04,-1.30,3.00
CETN2,0.18,0.44,0.22,0.71,0.10,0.24,-0.07,0.15,-0.23,0.54,-0.16,0.39
MRPL28,-0.40,0.86,-0.50,1.10,-0.17,0.34,-0.21,0.46,-0.27,0.61,-0.36,0.77
SRSF2,0.32,1.28,0.23,1.26,0.25,1.43,0.24,0.92,0.30,0.86,0.37,0.96
TRAPPC4,0.07,0.37,0.32,1.78,0.34,1.57,0.06,0.35,-0.14,0.76,0.26,1.91
KDM3A,0.02,0.03,0.01,0.01,0.20,0.67,-0.07,0.17,-0.49,0.91,-0.13,0.36
RHEB,0.53,2.82,0.62,2.61,0.10,0.49,0.16,0.72,0.05,0.26,0.07,0.27
VAC14,-0.20,1.72,-0.18,1.57,-0.09,0.53,0.23,2.07,-0.02,0.15,-0.07,0.54
NEURL4,0.41,0.75,0.33,0.60,0.02,0.02,0.04,0.06,0.02,0.03,-0.10,0.13
ATP6V0D1,0.02,0.05,0.01,0.02,0.02,0.10,-0.18,1.10,-0.06,0.29,0.26,1.66
ARAP1,0.10,0.40,0.22,0.85,0.13,0.69,-0.11,0.32,-0.12,0.57,-0.18,0.70
DDAH1,-0.32,0.99,0.18,0.34,0.10,0.24,0.32,0.78,0.00,0.00,0.13,0.18
NMT2,0.09,0.12,0.06,0.15,-0.18,0.30,0.12,0.22,0.02,0.03,-0.11,0.17
RABEPK,-0.15,0.22,-0.25,0.35,0.03,0.05,0.26,0.49,-0.04,0.06,0.14,0.24
MED16,-0.05,0.44,0.12,0.80,0.03,0.45,0.05,0.50,-0.13,1.48,0.08,0.39
SORBS3,0.15,0.27,-0.25,0.57,-0.07,0.13,-0.15,0.32,-0.36,0.80,-0.18,0.36
DNAJB14,0.96,2.01,1.14,2.35,0.82,1.62,0.44,0.63,-0.06,0.07,0.76,1.43
DPM1,-0.52,0.76,-0.44,0.63,-0.63,0.92,-0.20,0.28,-0.02,0.03,-0.29,0.42
AK4,-0.31,1.67,-0.50,2.23,0.20,1.21,0.03,0.14,0.09,0.45,-0.26,1.37
TOE1,-0.21,0.77,-0.16,0.54,-0.30,1.00,-0.18,0.52,-0.23,0.73,-0.15,0.45
MLST8,-0.01,0.02,-0.36,1.15,0.19,0.47,0.13,0.29,0.27,0.53,-0.05,0.15
SSR4,0.05,0.24,-0.01,0.02,0.08,0.37,0.11,0.48,-0.17,0.64,0.04,0.16
CCDC58,-0.41,3.41,-0.46,4.19,0.08,1.96,-0.01,0.19,-0.12,0.97,-0.15,2.89
UBLCP1,-0.16,0.94,0.01,0.06,-0.04,0.19,-0.01,0.06,-0.28,1.50,-0.31,1.06
LRRC41,0.58,1.60,0.91,3.35,0.12,0.44,0.38,1.36,-0.14,0.41,0.31,1.11
KEAP1,0.30,0.40,-0.17,0.26,0.45,0.67,0.07,0.08,-0.21,0.22,0.13,0.18
KIF20B,0.91,1.34,0.60,1.62,1.00,3.73,0.32,0.77,0.66,1.86,0.93,1.62
MBOAT7,-0.35,1.64,-0.30,1.19,-0.18,0.93,-0.42,2.07,-0.22,1.05,-0.28,1.56
HSF1,-0.14,0.26,-0.14,0.27,0.00,0.00,-0.24,0.47,-0.15,0.29,-0.31,0.77
RAD18,0.25,0.90,0.12,0.35,0.31,0.82,0.30,1.08,0.26,0.93,0.32,1.00
CTDSPL2,-0.05,0.25,0.10,0.77,-0.11,0.80,-0.06,0.37,-0.20,1.17,0.13,1.10
METTL16,0.17,0.99,0.05,0.49,0.00,0.01,0.10,0.35,0.03,0.20,-0.05,0.32
ELMO3,-0.22,0.43,-0.73,1.42,0.02,0.04,0.15,0.35,0.13,0.30,-0.54,1.05
TAF5,0.25,1.09,0.19,1.64,0.44,1.43,0.27,1.08,-0.07,0.15,0.45,1.41
MORF4L2,0.61,1.57,0.48,1.25,0.45,1.51,0.22,0.42,-0.04,0.07,0.35,0.64
PFDN5,-0.76,1.15,-0.39,0.63,-0.38,0.62,-0.50,0.81,-0.73,1.11,-0.43,0.69
AGAP3,-0.25,0.60,-0.20,0.72,0.31,1.23,0.09,0.26,-0.02,0.06,0.05,0.16
NADK2,-0.51,3.15,-0.50,3.08,-0.07,0.38,-0.07,0.23,-0.16,0.84,-0.37,2.17
CBX4,-0.08,0.18,0.11,0.24,0.00,0.00,0.12,0.30,-0.32,0.76,0.04,0.07
PRKRA,-0.33,1.64,-0.08,0.40,-0.06,0.27,-0.22,1.24,0.05,0.21,-0.33,1.78
TCF3,0.73,2.25,0.64,1.60,0.93,3.42,0.81,1.89,0.29,0.52,0.51,1.73
SULT1A1,-0.92,1.85,1.80,4.87,0.52,1.34,0.38,1.72,-0.17,0.37,0.50,1.65
BRAF,0.15,0.35,0.08,0.11,0.39,0.90,0.52,1.34,0.03,0.04,0.45,1.06
OXSM,-0.39,0.98,-0.29,0.84,-0.23,0.66,0.08,0.21,-0.20,0.51,-0.21,0.53
RPL7L1,0.06,0.27,-0.14,0.68,0.33,2.00,0.14,0.79,0.20,0.82,0.15,0.98
ERI1,-0.06,0.19,-0.48,2.72,0.15,0.80,-0.01,0.03,-0.23,1.41,0.15,0.79
CYP51A1,-0.82,1.93,-0.97,2.13,0.07,0.16,-0.59,1.53,-0.46,1.19,-0.32,0.86
SNX17,0.64,2.49,0.78,2.44,0.44,1.73,0.57,0.90,-0.01,0.01,0.90,2.21
PATL1,0.19,0.43,0.39,1.30,0.30,0.99,0.50,2.10,0.41,1.20,0.63,2.29
CDK4,0.78,2.10,0.47,2.10,0.72,2.33,0.50,2.16,0.24,0.39,0.41,1.55
EIF2B2,0.09,0.35,-0.07,0.25,0.15,0.70,0.02,0.05,-0.15,0.49,0.40,1.37
KDSR,-0.29,0.92,-0.38,0.94,-0.17,0.40,-0.10,0.14,0.02,0.03,-0.08,0.24
OSGEP,-0.16,0.88,-0.05,0.16,-0.07,0.40,0.10,0.42,0.13,0.63,0.30,1.33
EIPR1,-0.12,0.17,0.06,0.08,-0.10,0.14,0.11,0.19,-0.12,0.16,0.00,0.00
UQCRH,-0.02,0.12,-0.08,1.00,0.19,1.38,0.27,2.11,0.23,1.34,0.10,0.48
TRAPPC9,0.00,0.01,0.14,0.73,0.06,0.29,0.23,0.70,-0.04,0.07,0.27,0.94
UCKL1,0.19,1.11,-0.03,0.11,0.53,3.50,0.12,0.26,0.21,0.64,0.06,0.69
RICTOR,0.01,0.02,0.36,0.74,0.15,0.30,0.06,0.10,-0.17,0.33,0.09,0.15
ALG2,0.27,0.53,-0.08,0.14,0.16,0.27,0.10,0.19,-0.06,0.10,0.07,0.12
MLF2,0.50,1.94,0.67,2.98,0.48,2.86,0.24,0.58,-0.18,0.39,0.54,3.82
ODR4,-0.08,0.28,0.18,0.63,0.17,0.65,0.14,0.51,0.08,0.17,0.13,0.28
SYNJ1,0.36,0.38,0.64,0.42,0.18,0.18,0.38,0.46,0.27,0.25,0.08,0.08
TSR3,0.26,0.81,-0.19,0.55,0.24,0.78,0.36,0.80,0.10,0.23,0.49,1.23
NDRG3,0.36,1.09,0.07,0.17,0.00,0.01,0.18,0.52,0.27,0.54,0.35,1.07
ALDH6A1,-0.84,2.42,-0.48,1.56,-0.52,2.20,-0.29,1.25,-0.35,1.45,-0.08,0.26
TOR1AIP2,-0.30,1.20,-0.09,0.28,-0.24,0.85,-0.25,1.46,-0.05,0.14,-0.02,0.07
DNAJC10,-0.65,1.93,-0.58,2.24,-0.01,0.03,-0.19,0.97,-0.22,0.97,-0.65,2.41
ARPC1A,-0.61,1.78,-0.34,1.10,0.02,0.05,-0.27,0.80,-0.16,0.31,-0.12,0.34
TMED2,-0.39,2.02,-0.39,1.98,-0.31,1.55,-0.21,1.08,-0.63,2.52,-0.32,1.25
AIFM2,0.65,2.01,0.95,3.16,0.26,1.03,0.16,0.51,-0.35,1.21,-0.01,0.02
RBM45,-0.24,0.70,0.15,0.47,0.18,0.54,0.12,0.27,-0.10,0.27,0.09,0.26
THOC3,-0.20,0.73,-0.18,0.55,-0.01,0.01,-0.11,0.31,-0.16,0.38,0.09,0.26
DHX40,0.34,0.92,0.28,1.36,0.14,0.31,0.25,0.82,0.27,0.50,0.25,0.86
GPN3,0.06,0.30,0.10,0.28,0.23,1.87,0.40,2.62,0.26,1.73,0.47,2.07
LHPP,-1.00,3.36,-0.14,0.52,-0.50,2.12,0.21,1.02,-0.48,2.40,-0.16,0.72
TST,-0.69,2.89,-0.40,2.72,-0.48,2.04,-0.51,2.13,-0.54,2.11,-0.65,2.76
C11orf98,-0.16,2.53,-0.36,2.43,0.07,0.43,-0.16,1.07,-0.02,0.08,-0.16,1.47
GMPR,0.00,0.00,-0.36,1.15,-0.07,0.11,-0.09,0.27,0.05,0.09,-0.20,0.71
MYO1D,-1.11,4.16,-1.96,4.77,-0.03,0.19,-0.37,2.62,-1.46,4.36,-0.19,1.46
TGS1,-0.02,0.02,-0.24,0.43,0.15,0.29,-0.05,0.05,0.04,0.05,0.50,0.51
PTGR2,-0.20,0.48,-0.12,0.31,-0.23,0.67,0.18,0.60,0.19,0.47,-0.27,0.77
CCNB1,0.68,2.25,0.34,1.10,0.57,1.61,0.12,0.23,0.23,0.44,0.58,2.11
LSS,-0.29,0.95,-0.56,1.64,-0.26,0.94,-0.32,2.05,-0.24,1.26,-0.63,2.69
CCDC9,-0.07,0.26,-0.14,0.57,0.02,0.07,0.04,0.13,-0.21,0.90,-0.10,0.44
PGRMC2,-0.54,1.46,-0.46,1.04,-0.34,1.07,-0.37,1.23,-0.69,1.87,-0.30,0.94
PRORP,-0.35,1.26,-0.45,1.76,0.28,0.90,0.14,0.45,0.27,0.62,0.02,0.05
USP3,0.14,0.90,0.10,0.31,0.35,1.72,0.30,2.02,0.19,1.44,0.23,1.73
RRP36,0.12,0.42,-0.13,0.37,0.44,1.83,0.06,0.14,0.00,0.00,0.27,1.12
VPS53,-0.09,0.11,-0.17,0.31,0.01,0.01,-0.12,0.21,-0.33,0.40,-0.03,0.03
CHMP1A,0.14,1.24,0.21,1.56,0.42,2.84,0.17,1.69,0.11,0.87,0.11,0.53
DOK1,0.43,0.99,0.66,1.04,0.38,0.94,0.14,0.26,-0.45,0.84,-0.16,0.31
RXRB,-0.23,0.83,0.02,0.07,-0.06,0.22,0.23,1.03,0.07,0.27,0.28,1.34
DDX55,-0.25,1.03,-0.43,1.70,-0.16,0.65,-0.24,1.15,-0.31,1.37,-0.05,0.22
PTRHD1,-0.47,1.50,-0.16,0.53,-0.42,1.24,-0.29,0.92,-0.47,1.05,-0.44,1.25
TTC38,-1.06,3.64,-0.19,0.92,-0.17,1.01,0.12,0.96,0.19,0.77,0.45,1.76
LZTS2,0.54,3.17,0.44,2.52,0.42,2.20,0.51,0.98,-0.02,0.03,0.21,0.83
MTMR12,0.69,2.72,0.94,2.65,0.49,2.44,0.51,2.42,0.41,2.01,0.59,1.47
PRCC,0.01,0.01,-0.13,0.26,-0.06,0.11,-0.20,0.44,-0.14,0.21,-0.01,0.02
TAOK2,-0.41,0.34,-0.11,0.08,0.18,0.11,0.10,0.06,-0.21,0.18,0.64,0.51
ARHGEF18,0.57,0.83,0.47,0.56,0.29,0.68,0.20,0.36,0.43,0.61,0.49,0.60
APIP,-0.21,0.63,0.03,0.08,-0.08,0.29,0.30,0.96,0.27,0.73,0.04,0.09
PTPA,0.13,0.86,0.26,1.19,0.21,1.85,0.30,1.15,0.01,0.05,0.17,0.71
MTMR6,0.25,0.32,0.28,0.46,0.41,0.51,0.29,0.53,0.25,0.37,0.52,0.81
AKAP17A,0.15,0.54,0.11,0.38,0.14,0.57,0.09,0.28,0.18,0.59,0.14,0.40
PIGS,0.15,0.41,-0.14,0.31,0.03,0.07,0.12,0.41,-0.10,0.25,-0.04,0.09
POLR3E,-0.47,1.40,-0.36,1.29,0.10,0.25,-0.03,0.06,-0.19,0.59,0.01,0.03
ADPGK,0.08,0.39,-0.37,1.12,-0.07,0.35,-0.25,1.04,-0.65,2.56,0.06,0.29
EXOC1,-0.23,0.65,0.16,0.64,0.16,0.46,0.12,0.34,-0.22,0.79,-0.05,0.13
